Entreprise,Prix (MAD),Volume_num,P/E Ratio,Dividende %,Date_Collecte
ATTIJARIWAFA BANK,728.0,51268,13.18,2.75,2026-02-04
SMI,6150.0,4524,12.92,3.45,2026-02-04
CMT,2370.0,5753,11.55,0.94,2026-02-04
AKDITAL,1130.0,10369,40.33,0.68,2026-02-04
SGTM S.A,825.0,13774,,,2026-02-04
ALLIANCES,500.0,15570,10.69,0.72,2026-02-04
CFG BANK,231.0,33517,30.11,1.39,2026-02-04
BCP,275.25,25497,16.08,3.14,2026-02-04
MANAGEM,7800.0,831,34.17,0.76,2026-02-04
MARSA MAROC,925.0,6774,23.97,1.09,2026-02-04
LAFARGE HOLCIM MAROC,1775.0,3066,29.05,3.41,2026-02-04
TGCC,848.0,6067,16.17,1.11,2026-02-04
CIMENTS DU MAROC,1720.0,2866,25.0,2.79,2026-02-04
COSUMAR,203.0,22538,18.22,3.76,2026-02-04
TOTALENERGIES,1650.0,2382,207.14,6.01,2026-02-04
CIH,390.0,9161,15.09,3.27,2026-02-04
SONASID,2050.0,1527,39.52,1.63,2026-02-04
CMGP GROUP,380.0,8391,,1.65,2026-02-04
ITISSALAT AL MAGHRIB,105.55,29397,16.67,1.15,2026-02-04
BANK OF AFRICA,204.8,15017,14.36,2.4,2026-02-04
CASH PLUS,295.0,9782,16.5,,2026-02-04
ADDOHA,30.61,76420,35.83,1.25,2026-02-04
RESIDENCES DAR SAADA,157.0,11398,,3.59,2026-02-04
CREDIT DU MAROC,1020.0,1255,17.25,3.72,2026-02-04
JET CONTRACTORS,2650.0,404,11.18,0.7,2026-02-04
HPS,526.0,1687,46.07,1.18,2026-02-04
MUTANDIS,245.0,2535,20.49,3.5,2026-02-04
LABEL VIE,4299.0,96,23.95,2.31,2026-02-04
STOCKVIS NORD AFRI,92.84,4395,,1.74,2026-02-04
STROC IND.,230.0,1727,,2.63,2026-02-04
VICENNE,428.0,830,,,2026-02-04
BMCI,629.8,425,41.86,2.98,2026-02-04
DELTA HOLDING,70.0,3018,16.14,2.77,2026-02-04
RISMA,375.0,550,12.18,1.82,2026-02-04
TAQA MOROCCO,2080.0,85,25.0,1.35,2026-02-04
FENIE BROSSETTE,377.0,431,18.86,2.08,2026-02-04
WAFA ASSURANCE,4900.0,27,20.88,2.65,2026-02-04
IMMORENTE,91.4,1300,19.79,5.78,2026-02-04
MED PAPER,26.0,4215,17.08,,2026-02-04
COLORADO,84.99,1063,19.38,4.13,2026-02-04
M2M GROUP,454.0,151,,5.32,2026-02-04
ARADEI CAPITAL,447.9,145,18.39,4.95,2026-02-04
AUTO HALL,92.0,549,112.92,2.5,2026-02-04
CARTIER SAADA,31.2,1338,14.67,2.9,2026-02-04
DISTY TECH.,331.95,101,10.18,4.53,2026-02-04
ENNAKL,51.0,640,6.89,6.78,2026-02-04
ALUMINIUM DU MAROC,1799.0,17,95.73,5.09,2026-02-04
INVOLYS,188.0,146,48.89,4.72,2026-02-04
AGMA,6500.0,4,20.16,4.3,2026-02-04
SNEP,470.0,46,,2.87,2026-02-04
AFRIQUIA GAZ,4068.0,5,28.55,3.8,2026-02-04
CREDIT EQDOM,1298.0,15,18.63,4.65,2026-02-04
AFRIC IND.,339.5,57,21.89,6.41,2026-02-04
ATLANTASANAD,143.8,125,1.19,3.92,2026-02-04
IB-MAROC.COM,66.0,238,0.0,5.2,2026-02-04
MAGHREBAIL,924.9,10,9.86,5.3,2026-02-04
OULMES,1166.0,6,41.76,1.88,2026-02-04
MAGHREB OXYGENE,399.85,12,19.66,0.86,2026-02-04
SBM,2199.0,2,10.02,4.54,2026-02-04
LESIEUR-CRISTAL,340.0,6,2.0,1.07,2026-02-04
UNIMER,160.0,12,,0.57,2026-02-04
MICRODATA,819.0,1,17.65,4.17,2026-02-04
REBAB,100.7,8,69.84,2.1,2026-02-04
MAROC LEASING,359.0,1,9.6,3.64,2026-02-04
ZELLIDJA,232.15,0,,2.61,2026-02-04
SALAFIN,561.0,0,17.93,4.56,2026-02-04
PROMOPHARM,1444.0,0,17.57,3.93,2026-02-04
AFMA,1226.0,0,20.0,4.26,2026-02-04
SAMIR,127.8,0,,3.02,2026-02-04
DIAC SALAF,26.25,0,,7.0,2026-02-04
SOTHEMA,1800.0,0,26.05,1.99,2026-02-04
SRM,479.95,0,,5.12,2026-02-04
CTM,870.0,0,11.07,2.5,2026-02-04
DARI COUSPATE,4300.0,0,27.1,3.51,2026-02-04
DISWAY,880.0,0,18.73,5.03,2026-02-04
BALIMA,225.0,0,36.27,2.39,2026-02-04
SANLAM MAROC,2085.0,0,9.56,3.72,2026-02-04
S2M,570.0,0,6.79,5.44,2026-02-04
DELATTRE LEVIVIER,40.0,0,0.0,3.69,2026-02-04
AUTO NEJMA,4326.0,0,16.02,5.8,2026-02-04
